Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
3-Jan-2000,KOTAKMAH,EQ,212.35,220,229.35,220,229.35,229.35,229.13,7086,162364030000.00,,,
4-Jan-2000,KOTAKMAH,EQ,229.35,247.7,247.7,225.25,247.7,246.95,244.12,73681,1798729060000.00,,,
5-Jan-2000,KOTAKMAH,EQ,246.95,229,240,227.2,228,228.4,233.75,105799,2473093055000.00,,,
6-Jan-2000,KOTAKMAH,EQ,228.4,235.1,239,217,224.95,225.9,226.84,40202,911954590000.00,,,
7-Jan-2000,KOTAKMAH,EQ,225.9,213,219,207.85,207.85,208.85,209.94,24463,513574715000.00,,,
10-Jan-2000,KOTAKMAH,EQ,208.85,215,219,192.15,192.15,192.15,196.47,12408,243780380000.00,,,
11-Jan-2000,KOTAKMAH,EQ,192.15,180.2,180.2,176.8,176.8,176.8,176.98,15253,269947240000.00,,,
12-Jan-2000,KOTAKMAH,EQ,176.8,165,169.45,162.7,162.7,162.7,163.34,20558,335791970000.00,,,
13-Jan-2000,KOTAKMAH,EQ,162.7,149.7,175.7,149.7,163.35,167.35,163.83,103323,1692772575000.00,,,
14-Jan-2000,KOTAKMAH,EQ,167.35,169,177,156.15,160.5,159.85,161.69,31522,509687795000.00,,,
17-Jan-2000,KOTAKMAH,EQ,159.85,169,170,150.15,151.5,153.5,157.22,27217,427903845000.00,,,
18-Jan-2000,KOTAKMAH,EQ,153.5,148.25,158.9,147.3,149.25,149.5,151.56,40099,607731920000.00,,,
19-Jan-2000,KOTAKMAH,EQ,149.5,154.5,161.5,154,161.5,161.5,158.69,12701,201551245000.00,,,
20-Jan-2000,KOTAKMAH,EQ,161.5,174.45,174.45,174.45,174.45,174.45,174.45,4180,72920100000.00,,,
21-Jan-2000,KOTAKMAH,EQ,174.45,188.4,188.45,182.1,188.45,188.45,187.89,39486,741885455000.00,,,
24-Jan-2000,KOTAKMAH,EQ,188.45,200,203.55,200,203.55,203.55,203.54,10214,207891270000.00,,,
25-Jan-2000,KOTAKMAH,EQ,203.55,214.9,218.9,189.05,199,200.6,202.5,106362,2153827650000.00,,,
27-Jan-2000,KOTAKMAH,EQ,200.6,194.95,194.95,194.95,194.95,194.95,194.95,3547,69148765000.00,,,
28-Jan-2000,KOTAKMAH,EQ,194.95,210.55,210.55,210.55,210.55,210.55,210.55,36765,774087075000.00,,,
31-Jan-2000,KOTAKMAH,EQ,210.55,227.4,227.4,219,227.4,227.4,226.2,55785,1261876000000.00,,,
1-Feb-2000,KOTAKMAH,EQ,227.4,245.45,245.6,211.1,231.75,230.6,231.09,158195,3655760090000.00,,,
2-Feb-2000,KOTAKMAH,EQ,230.6,245,245,220.55,222,222,227.79,75199,1712974470000.00,,,
3-Feb-2000,KOTAKMAH,EQ,222,215,218.9,204.25,207.1,207.4,208.07,74420,1548492055000.00,,,
4-Feb-2000,KOTAKMAH,EQ,207.4,204.25,211,200,203.15,204,204.4,42796,874752845000.00,,,
7-Feb-2000,KOTAKMAH,EQ,204,201.55,202.8,190,192.7,191.65,197.02,47503,935888785000.00,,,
8-Feb-2000,KOTAKMAH,EQ,191.65,181.05,193,181.05,190,190,187.19,66230,1239753550000.00,,,
9-Feb-2000,KOTAKMAH,EQ,190,184,190,178.2,178.6,180.05,183.41,63515,1164927210000.00,,,
10-Feb-2000,KOTAKMAH,EQ,180.05,181,181,168,170.15,172.5,173.39,46478,805875000000.00,,,
11-Feb-2000,KOTAKMAH,EQ,172.5,166,174,166,172.9,171.15,170.72,31531,538287690000.00,,,
14-Feb-2000,KOTAKMAH,EQ,171.15,170.05,170.5,157.5,157.5,157.5,162.7,34929,568287120000.00,,,
15-Feb-2000,KOTAKMAH,EQ,157.5,148,163.7,148,153.9,149.6,154.24,153150,2362193705000.00,,,
16-Feb-2000,KOTAKMAH,EQ,149.6,155.25,161.6,154,161.6,161.6,160.01,67654,1082531800000.00,,,
17-Feb-2000,KOTAKMAH,EQ,161.6,165,174.55,164.8,174.55,174.55,173.52,64637,1121555485000.00,,,
18-Feb-2000,KOTAKMAH,EQ,174.55,184.4,188,162.75,175,174.85,177.4,90931,1613081410000.00,,,
21-Feb-2000,KOTAKMAH,EQ,174.85,175,178,161,169.7,171.6,168.66,83475,1407853630000.00,,,
22-Feb-2000,KOTAKMAH,EQ,171.6,175,176,161.5,165,163.2,164.01,101537,1665354525000.00,,,
23-Feb-2000,KOTAKMAH,EQ,163.2,169,176.25,158,159,160.4,167.57,78128,1309186265000.00,,,
24-Feb-2000,KOTAKMAH,EQ,160.4,161.1,163,151,154.8,153.85,156.52,32260,504922035000.00,,,
25-Feb-2000,KOTAKMAH,EQ,153.85,151.7,155.9,141.55,142.45,143.3,145.07,35794,519278495000.00,,,
28-Feb-2000,KOTAKMAH,EQ,143.3,139,146,132.2,146,144.15,137.86,65297,900153765000.00,,,
29-Feb-2000,KOTAKMAH,EQ,144.15,142,155.7,135.55,135.7,140.45,149.91,103620,1553370950000.00,,,
1-Mar-2000,KOTAKMAH,EQ,140.45,145,151.7,142,151.7,151.7,147.54,38073,561727235000.00,,,
2-Mar-2000,KOTAKMAH,EQ,151.7,162,163.85,155.5,163.85,163.85,161.76,72557,1173658660000.00,,,
3-Mar-2000,KOTAKMAH,EQ,163.85,171.9,177,153,175.05,171.25,161,545599,8784009270000.00,,,
6-Mar-2000,KOTAKMAH,EQ,171.25,177,184.95,174,184.95,184.95,181.69,137483,2497918755000.00,,,
7-Mar-2000,KOTAKMAH,EQ,184.95,195,199.75,187,199.75,199.75,197.28,161931,3194535560000.00,,,
8-Mar-2000,KOTAKMAH,EQ,199.75,214.8,215.75,189.05,198,194.8,210.77,359518,7577524390000.00,,,
9-Mar-2000,KOTAKMAH,EQ,194.8,205,210,179.25,179.25,179.25,183.12,58010,1062291950000.00,,,
10-Mar-2000,KOTAKMAH,EQ,179.25,165.1,175,164.95,164.95,164.95,167.61,83554,1400444285000.00,,,
13-Mar-2000,KOTAKMAH,EQ,164.95,165,165,151.75,151.75,151.75,153.67,21700,333454850000.00,,,
14-Mar-2000,KOTAKMAH,EQ,151.75,140.1,140.1,139.65,139.65,139.65,139.7,32980,460725570000.00,,,
15-Mar-2000,KOTAKMAH,EQ,139.65,144,148,128.6,141.6,144.3,139.7,119746,1672792515000.00,,,
16-Mar-2000,KOTAKMAH,EQ,144.3,140,144,133,134.05,134.3,138.26,52127,720705935000.00,,,
21-Mar-2000,KOTAKMAH,EQ,134.3,129,134.5,123.6,123.6,123.6,125.34,72573,909659715000.00,,,
2-Jul-2001,KOTAKMAH,EQ,48,48.05,49.5,48,48,48.05,48.33,5540,26776885000.00,,,
3-Jul-2001,KOTAKMAH,EQ,48.05,49.5,49.5,47.5,48,48,47.99,3876,18600045000.00,,,
4-Jul-2001,KOTAKMAH,EQ,48,48.5,49,47.75,48.4,48.4,48.13,2468,11877910000.00,,,
5-Jul-2001,KOTAKMAH,EQ,48.4,49,49.45,48,48,48.3,48.16,3135,15097100000.00,,,
6-Jul-2001,KOTAKMAH,EQ,48.3,48.5,48.5,47,48,48,47.47,5890,27959500000.00,,,
9-Jul-2001,KOTAKMAH,EQ,48,47.5,48.5,47,48,47.6,47.77,7109,33959700000.00,,,
10-Jul-2001,KOTAKMAH,EQ,47.6,47.05,48,46,46,46.8,47.25,4730,22350200000.00,,,
11-Jul-2001,KOTAKMAH,EQ,46.8,49.5,49.5,46,46,46,46.98,3889,18269105000.00,,,
12-Jul-2001,KOTAKMAH,EQ,46,46.5,47,46,46,46,46.34,1770,8201450000.00,,,
13-Jul-2001,KOTAKMAH,EQ,46,46,47.9,45,45,45,45.68,4000,18273275000.00,,,
